PrYVO_05,intensity,PrYVO_05_90,intensity
5.02343028,4380,5.02343028,4438
5.04969085,4319,5.04969085,4488
5.07595142,4439,5.07595142,4442
5.10221199,4236,5.10221199,4351
5.12847256,4277,5.12847256,4471
5.15473313,4327,5.15473313,4379
5.1809937,4320,5.1809937,4350
5.20725427,4259,5.20725427,4357
5.23351484,4250,5.23351484,4302
5.25977541,4177,5.25977541,4292
5.28603598,4216,5.28603598,4376
5.31229655,4111,5.31229655,4262
5.33855712,4288,5.33855712,4258
5.36481769,4236,5.36481769,4256
5.39107826,4155,5.39107826,4227
5.41733883,4090,5.41733883,4182
5.4435994,4097,5.4435994,4243
5.46985997,4228,5.46985997,4275
5.49612054,4057,5.49612054,4121
5.52238111,3976,5.52238111,4079
5.54864168,4049,5.54864168,4185
5.57490225,4101,5.57490225,4209
5.60116282,4028,5.60116282,4130
5.62742339,4089,5.62742339,4160
5.65368396,4048,5.65368396,4050
5.67994453,4028,5.67994453,4224
5.7062051,4009,5.7062051,4080
5.73246567,4013,5.73246567,4092
5.75872624,3896,5.75872624,4139
5.78498681,4036,5.78498681,3996
5.81124738,4033,5.81124738,4093
5.83750795,3957,5.83750795,4122
5.86376852,3950,5.86376852,4145
5.89002909,3990,5.89002909,4044
5.91628966,4000,5.91628966,4076
5.94255023,3886,5.94255023,4122
5.9688108,3903,5.9688108,4028
5.99507137,3890,5.99507137,4018
6.02133194,3974,6.02133194,4063
6.04759251,3909,6.04759251,4102
6.07385308,3958,6.07385308,4014
6.10011365,4003,6.10011365,3990
6.12637422,3943,6.12637422,3902
6.15263479,4014,6.15263479,3916
6.17889536,3865,6.17889536,3957
6.20515593,3953,6.20515593,4106
6.2314165,3859,6.2314165,3946
6.25767707,3892,6.25767707,3954
6.28393764,3824,6.28393764,3869
6.31019821,3882,6.31019821,3856
6.33645878,3945,6.33645878,3839
6.36271935,3860,6.36271935,3950
6.38897992,3928,6.38897992,3897
6.41524049,3876,6.41524049,4060
6.44150106,3860,6.44150106,3799
6.46776163,3973,6.46776163,3921
6.4940222,3852,6.4940222,3880
